Dataset,Baseline,Final_Method,Baseline_Precision,Baseline_Recall,Baseline_mAP50,Baseline_mAP50_95,Final_Precision,Final_Recall,Final_mAP50,Final_mAP50_95,Delta_Precision,Delta_Recall,Delta_mAP50,Delta_mAP50_95
Aquatic Plant,Original YOLOv8n,WB+CLAHE + YOLOv8n,95.69,94.44,98.55,70.63,97.99,90.26,96.75,71.12,2.299999999999997,-4.179999999999993,-1.7999999999999972,0.4900000000000091
Well,Original YOLOv8n,WB+CLAHE + YOLOv8n,44.64,38.31,42.2,18.46,43.0,37.46,39.34,16.15,-1.6400000000000006,-0.8500000000000014,-2.8599999999999994,-2.3100000000000023
